match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_139,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_409,Schmidt et al._2013_410,2,3
Schmidt et al._2013_140,Schmidt et al._2013,One Shot Protocol, original, Game PD3,original,1,Schmidt et al._2013_411,Schmidt et al._2013_412,2,3
Schmidt et al._2013_141,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_413,Schmidt et al._2013_414,1,4
Schmidt et al._2013_142,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_415,Schmidt et al._2013_416,1,3
Schmidt et al._2013_143,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_417,Schmidt et al._2013_418,1,4
Schmidt et al._2013_144,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_419,Schmidt et al._2013_420,1,4
Schmidt et al._2013_145,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_421,Schmidt et al._2013_422,2,3
Schmidt et al._2013_146,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_423,Schmidt et al._2013_424,1,3
Schmidt et al._2013_147,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_425,Schmidt et al._2013_426,1,3
Schmidt et al._2013_148,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_427,Schmidt et al._2013_428,1,3
Schmidt et al._2013_149,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_429,Schmidt et al._2013_430,1,3
Schmidt et al._2013_150,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_431,Schmidt et al._2013_432,1,3
Schmidt et al._2013_151,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_433,Schmidt et al._2013_434,2,3
Schmidt et al._2013_152,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_435,Schmidt et al._2013_436,1,4
Schmidt et al._2013_153,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_437,Schmidt et al._2013_438,1,3
Schmidt et al._2013_154,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_439,Schmidt et al._2013_440,1,3
Schmidt et al._2013_155,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_441,Schmidt et al._2013_442,1,3
Schmidt et al._2013_156,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_443,Schmidt et al._2013_444,1,3
Schmidt et al._2013_157,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_445,Schmidt et al._2013_446,1,3
Schmidt et al._2013_158,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_447,Schmidt et al._2013_448,2,3
Schmidt et al._2013_159,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_449,Schmidt et al._2013_450,1,3
Schmidt et al._2013_160,Schmidt et al._2013,One Shot Protocol, original, Game PD4,original,1,Schmidt et al._2013_451,Schmidt et al._2013_452,2,3
Schmidt et al._2013_161,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_733,Schmidt et al._2013_734,2,4
Schmidt et al._2013_162,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_735,Schmidt et al._2013_736,2,4
Schmidt et al._2013_163,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_737,Schmidt et al._2013_738,1,3
Schmidt et al._2013_164,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_739,Schmidt et al._2013_740,1,4
Schmidt et al._2013_165,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_741,Schmidt et al._2013_742,2,4
Schmidt et al._2013_166,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_743,Schmidt et al._2013_744,1,3
Schmidt et al._2013_167,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_745,Schmidt et al._2013_746,1,4
Schmidt et al._2013_168,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_747,Schmidt et al._2013_748,1,3
Schmidt et al._2013_169,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_749,Schmidt et al._2013_750,1,3
Schmidt et al._2013_170,Schmidt et al._2013,One Shot Protocol, reverse, CO1-R,reverse order,1,Schmidt et al._2013_751,Schmidt et al._2013_752,2,4
